Date	Reserves_thousands_of_tons
1951	180,61
1952	185,14
1953	237,57
1954	236,04
1955	252,83
1956	244,30
1957	282,48
1958	355,60
1959	373,80
1960	410,40
1961	502,00
1962	517,20
1963	545,20
1964	507,80
1965	488,10
1966	494,60
1967	488,40
1968	496,50
1969	493,30
1970	460,80
1971	392,60
1972	347,40
1973	371,00
1974	350,70
1975	357,20
1976	343,50
1977	345,70
1978	326,40
1979	293,60
1980	269,40
1981	269,30
1982	259,00
1983	233,30
1984	219,30
1985	219,10
1986	209,50
1987	211,10
1988	210,10
1989	209,60
