Date	deltaW_thousands_of_tons
1939	4500,00
1940	4600,00
1941	4200,00
1942	2500,00
1943	2000,00
1944	1000,00
1945	1910,00
1946	2300,00
1947	3100,00
1948	3900,00
1949	5260,00
1950	6050,00
1951	6520,00
1952	6670,00
1953	6640,00
1954	6330,00
1955	6500,00
1956	6970,00
1957	7920,00
1958	9240,00
1959	10570,00
1960	12000,00
1961	13120,00
1962	14170,00
1963	15150,00
1964	17850,00
1965	20630,00
1966	23910,00
1967	26710,00
1968	28530,00
1969	32620,00
1970	34750,00
1971	35700,00
1972	34250,00
1973	29390,00
1974	26400,00
1975	23030,00
1976	21800,00
1977	20970,00
1978	20520,00
1980	18800,00
1981	15900,00
1982	14400,00
1983	13100,00
1984	12000,00
1985	10520,00
1986	10110,00
1987	9830,00
1988	9310,00
1989	8850,00
1990	8500,00
1991	8150,00
1992	7800,00
1995	1476,00
2000	830,00
2001	1540,00
2002	2128,00
2003	2514,00
2004	2699,00
2005	2909,00
