Date	deltaW_thousands_of_tons	everyday_thousands_of_tons	CIAeveryday_thousands_of_tons
1936	20,0000	0,0000	0,0000
1937	65,0000	0,0000	0,0000
1938	495,0000	0,0000	0,0000
1939	3934,0000	0,0000	0,0000
1940	5075,0000	0,0000	0,0000
1941	4310,0000	0,0000	0,0000
1942	4530,0000	0,0000	0,0000
1943	4868,0000	0,0000	0,0000
1944	7794,0000	0,0000	0,0000
1945	21311,0000	0,0000	0,0000
1946	59944,0000	0,0000	0,0000
1947	89852,0000	0,0000	0,0000
1948	142853,0000	0,0000	0,0000
1949	174008,0000	0,0000	0,0000
1950	199547,0000	0,0000	0,0000
1951	277963,0000	0,0000	0,0000
1952	301861,0000	0,0000	0,0000
1953	308294,0000	0,0000	0,0000
1954	347845,0000	0,0000	0,0000
1955	352240,0000	0,0000	0,0000
1956	360923,0000	986,0000	0,0000
1957	362121,0000	992,0000	0,0000
1958	383827,0000	1052,0000	0,0000
1959	405533,0000	1111,0000	0,0000
1960	456453,1730	1247,0000	0,0000
1961	508269,2010	1393,0000	0,0000
1962	555056,3880	1521,0000	0,0000
1963	594591,6710	1629,0000	0,0000
1964	628094,5430	1716,0000	0,0000
1965	739078,0000	2025,0000	2219,0000
1966	873349,0000	2393,0000	2615,0000
1967	948110,0000	2598,0000	2825,0000
1968	1113717,0000	3043,0000	3081,0000
1969	1173896,0000	3216,0000	3262,0000
1970	1386659,0000	3799,0000	3851,0000
1971	1741050,0000	4770,0000	4821,0000
1972	2098423,0000	5733,0000	6070,0000
1973	2677146,0000	7335,0000	7693,0000
1974	2996543,0000	8210,0000	8618,0000
1975	2491834,0000	6827,0000	7216,0000
1976	3053887,0000	8344,0000	8762,0000
1977	3291187,0000	9017,0000	9419,0000
1978	2944128,0000	8066,0000	8554,0000
1979	3376644,0000	9251,0000	9841,0000
1980	3525080,0000	9631,0000	10270,0000
1981	3512697,0000	9624,0000	10256,0000
1982	2309435,0000	6327,0000	6961,0000
1983	1746246,0000	4784,0000	4951,0000
1984	1630021,0000	4466,0000	4534,0000
1985	1314365,0000	3600,0000	3601,0000
1986	1900920,0000	5208,0000	5208,0000
1987	1645785,0000	4509,0000	4509,0000
1988	2093520,0000	4928,0000	5720,0000
1989	2056775,0000	4864,0000	5635,0000
1990	2593325,0000	7104,0000	7105,0000
1991	3219300,0000	0,0000	8820,0000
1992	3329868,0000	0,0000	9098,0000
1993	3271130,0000	0,0000	8962,0000
1994	3315660,0000	0,0000	9084,0000
1995	3337925,0000	0,0000	9145,0000
1996	3403434,0000	0,0000	9299,0000
1997	3460930,0000	0,0000	9482,0000
1998	3468230,0000	0,0000	9502,0000
1999	3231345,0000	0,0000	8853,0000
2000	3473706,0000	0,0000	9491,0000
2001	3361285,0000	0,0000	9209,0000
2002	3258720,0000	0,0000	8928,0000
2003	3709860,0000	0,0000	10164,0000
2004	3893508,0000	0,0000	10638,0000
2005	4056610,0000	0,0000	11114,0000
2006	3963535,0000	0,0000	10859,0000
2007	3748550,0000	0,0000	10270,0000
