Date	Reserves_billions_barrels	Reserves_billions_barrels_inter
1956	42,0000	0,0000
1957	45,0000	0,0000
1958	45,0000	0,0000
1959	45,0000	0,0000
1960	51,0000	0,0000
1961	45,0000	0,0000
1962	57,0000	0,0000
1963	57,8110	0,0000
1964	60,0000	0,0000
1965	63,7070	0,0000
1966	50,0000	0,0000
1967	77,0020	0,0000
1968	136,3410	0,0000
1969	136,5850	0,0000
1970	138,6730	0,0000
1971	138,3000	0,0000
1972	92,9920	0,0000
1973	96,9220	0,0000
1974	103,4800	0,0000
1975	107,8570	0,0000
1976	110,1870	0,0000
1977	110,4000	0,0000
1978	167,0660	0,0000
1979	113,3840	0,0000
1980	164,2200	168,0000
1981	164,8130	167,9000
1982	165,0000	165,5000
1983	164,2000	168,8000
1984	165,0000	171,7000
1985	166,5000	171,5000
1986	167,0000	169,7000
1987	169,9700	169,6000
1988	254,9590	255,0000
1989	260,0540	260,1000
1990	260,0000	260,3000
1991	258,4650	260,9000
1992	258,6000	261,2000
1993	260,0000	261,4000
1994	261,1000	261,4000
1995	259,0000	261,5000
1996	261,5000	261,4000
1997	259,0000	261,5000
1998	259,1000	261,5000
1999	260,0000	262,8000
2000	261,5420	262,8000
2001	259,2500	262,7000
2002	259,4000	262,8000
2003	259,4000	262,7000
2004	259,4000	264,3000
2005	260,0000	264,2000
2006	259,8000	264,3000
2007	264,2510	0,0000
