Date	Reserved
1859	2,00
1860	500,00
1861	2114,00
1862	3057,00
1863	2611,00
1864	2116,00
1865	2498,00
1866	3598,00
1867	3347,00
1868	3646,00
1869	4215,00
1870	5261,00
1871	5205,00
1872	6293,00
1873	9894,00
1874	10927,00
1875	8788,00
1876	9133,00
1877	13350,00
1878	15397,00
1879	19914,00
1880	26286,00
1881	27661,00
1882	30350,00
1883	23450,00
1884	24218,00
1885	21859,00
1886	28065,00
1887	28283,00
1888	27612,00
1889	35164,00
1890	45824,00
1891	54293,00
1892	50515,00
1893	48431,00
1894	49344,00
1895	52892,00
1896	60960,00
1897	60476,00
1898	55364,00
1899	57071,00
1900	63621,00
1901	69389,00
1902	88767,00
1903	100461,00
1904	117081,00
1905	134717,00
1906	126494,00
1907	166095,00
1908	178527,00
1909	183171,00
1910	209557,00
1911	220449,00
1912	222935,00
1913	248446,00
1914	265763,00
1915	281104,00
1916	300767,00
1917	335316,00
1918	355928,00
1919	378367,00
1920	442929,00
1921	472183,00
1922	557531,00
1923	732407,00
1924	713940,00
1925	763743,00
1926	770874,00
1927	901129,00
1928	901474,00
1929	1007323,00
1930	898011,00
1931	851081,00
1932	785159,00
1933	905656,00
1934	908065,00
1935	996596,00
1936	1099687,00
1937	1279160,00
1938	1214355,00
1939	1264962,00
1940	1353214,00
1941	1402228,00
1942	1386645,00
1943	1505613,00
1944	1677904,00
1945	1713655,00
1946	1733939,00
1947	1856987,00
1948	2020185,00
1949	1841940,00
1950	1973574,00
1951	2247711,00
1952	2289836,00
1953	2357082,00
1954	2314988,00
1955	2484521,00
1956	2617283,00
1957	2618522,00
1958	2448987,00
1959	2574590,00
1960	2574933,00
1961	2621758,00
1962	2676189,00
1963	2752723,00
1964	2786822,00
1965	2848514,00
1966	3027763,00
1967	3216456,00
1968	3328907,00
1969	3371870,00
1970	3517505,00
1971	3453630,00
1972	3455368,00
1973	3360903,00
1974	3202585,00
1975	3056779,00
1976	2976312,00
1977	2985372,00
1978	3178055,00
1979	3114545,00
1980	3146356,00
1981	3122393,00
1982	3161022,00
1983	3171120,00
1984	3249714,00
1985	3274525,00
1986	3168200,00
1987	3047495,00
1988	2979240,00
1989	2778745,00
1990	2684575,00
1991	2707205,00
1992	2624586,00
1993	2499155,00
1994	2431630,00
1995	2394400,00
1996	2366190,00
1997	2354980,00
1998	2281980,00
1999	2146565,00
2000	2130852,00
2001	2120650,00
2002	2117438,00
2003	2073784,00
2004	1983244,00
2005	1868800,00
2006	1862259,00
2007	1848360,00
2008	1811700,00
2009	1948010,00
