Date	Reserved_billions_barrels
1899	2,50
1900	2,90
1901	3,00
1902	3,20
1903	3,40
1904	3,60
1905	3,80
1906	3,80
1907	3,90
1908	4,00
1909	4,20
1910	4,50
1911	5,00
1912	5,40
1913	5,50
1914	5,40
1915	5,50
1916	5,90
1917	5,90
1918	6,20
1919	6,70
1920	7,20
1921	7,80
1922	7,60
1923	7,60
1924	7,50
1925	8,50
1926	8,80
1927	10,50
1928	11,00
1929	13,20
1930	13,60
1931	13,00
1932	12,30
1933	12,00
1934	12,18
1935	12,40
1936	13,06
1937	15,51
1938	17,35
1939	18,48
1940	19,03
1941	19,59
1942	20,08
1943	20,06
1944	19,79
1945	19,94
1946	20,87
1947	21,49
1948	23,28
1949	24,65
1950	25,27
1951	27,47
1952	27,96
1953	28,95
1954	29,56
1955	30,01
1956	30,44
1957	30,30
1958	30,54
1959	31,72
1960	31,61
1961	31,76
1962	31,39
1963	30,97
1964	30,99
1965	31,35
1966	31,45
1967	31,38
1968	30,71
1969	29,63
1970	39,00
1971	38,06
1972	36,34
1973	35,30
1974	32,25
1975	32,68
1976	30,94
1977	31,78
1978	31,36
1979	29,81
1980	29,81
1981	29,43
1982	27,86
1983	27,74
1984	28,45
1985	28,42
1986	26,89
1987	27,26
1988	26,83
1989	26,50
1990	26,25
1991	24,68
1992	23,75
1993	22,96
1994	22,46
1995	22,35
1996	22,02
1997	22,55
1998	21,03
1999	21,77
2000	22,05
2001	22,45
2002	22,68
2003	21,89
2004	21,37
2005	21,76
2006	20,97
2007	21,32
2008	19,12
2009	20,68
