Date	Reserves
1951	2040500,00
1952	2172900,00
1953	2745000,00
1954	3033200,00
1955	3460700,00
1956	3690000,00
1957	4155800,00
1958	4449700,00
1959	4940700,00
1960	5107700,00
1961	5372300,00
1962	5398100,00
1963	5531000,00
1964	5628500,00
1965	5692100,00
1966	5717400,00
1967	5824200,00
1968	5869200,00
1969	5850300,00
1970	5867800,00
1971	5615700,00
1972	5475200,00
1973	5399700,00
1974	5301500,00
1975	5198700,00
1976	5111200,00
1977	4724200,00
1978	4531500,00
1979	4206400,00
1980	4012700,00
1981	3868200,00
1982	3699200,00
1983	3519200,00
1984	3407000,00
1985	3300400,00
1986	3191200,00
1987	3167700,00
1988	3098000,00
1989	3037700,00
