Date	deltaW_thousands_of_tons
1929	0,60
1930	6,00
1931	6,00
1932	11,00
1933	35,00
1934	75,00
1935	414,00
1936	977,00
1937	1003,10
1938	1293,00
1939	1433,00
1940	1848,00
1941	2000,00
1942	2300,00
1943	2500,00
1944	2700,00
1945	2826,00
1946	3944,00
1947	5403,00
1948	6596,00
1949	8132,00
1950	10358,00
1951	13287,00
1952	16892,00
1953	21729,00
1954	27738,00
1955	36982,00
1956	47460,00
1957	59231,00
1958	70319,00
1959	83242,00
1960	97408,00
1961	111548,00
1962	127722,00
1963	143168,00
1964	155090,00
1965	166104,00
1966	178283,00
1967	188361,00
1968	194626,00
1969	196184,00
1970	200053,00
1971	202692,00
1972	206129,00
1973	210906,00
1974	213455,00
1975	216617,00
1976	215445,00
1977	206291,00
1978	210370,00
1980	193870,00
1981	182000,00
1982	170900,00
1983	157000,00
1984	147000,00
1985	136660,00
1986	131700,00
1987	126800,00
1988	121700,00
1989	118100,00
1990	112200,00
1991	104010,00
1992	94600,00
1995	78324,00
2000	75156,00
2001	78678,00
2002	82989,00
2003	89249,00
2004	92922,00
2005	93183,00
2006	95000,00
