Date	reserves
1936	2945,00
1937	24980,00
1938	26200,00
1939	28120,00
1940	28120,00
1941	28280,00
1942	28150,00
1943	29830,00
1944	30750,00
1945	196030,00
1946	356230,00
1947	435030,00
1948	490040,00
1949	490640,00
1950	947870,00
1951	1328300,00
1952	2003910,00
1953	2134040,00
1954	2128000,00
1955	2868860,00
1956	3428250,00
1957	3656690,00
1958	4117370,00
1959	4404830,00
1960	4889880,00
1961	5060000,00
1962	5318000,00
1963	5336000,00
1964	5471000,00
1965	5559000,00
1966	5618000,00
1967	5642000,00
1968	5752000,00
1969	5804000,00
1970	5792000,00
1971	5818000,00
1972	5571000,00
1973	5436000,00
1974	5373000,00
