Date	Reserved_billions_tons	A_plus_B_billions_barrels
1960	0,00	0,00
1961	0,02	0,00
1962	0,08	0,00
1963	0,42	0,00
1964	0,76	0,00
1965	1,38	0,00
1966	1,79	0,00
1967	2,24	0,00
1968	2,46	0,00
1969	3,59	0,00
1970	4,38	0,00
1971	4,96	0,00
1972	5,72	0,00
1973	6,49	0,00
1974	7,38	0,00
1975	8,28	0,00
1976	8,60	0,00
1977	9,03	0,00
1978	9,79	0,00
1979	10,62	0,00
1980	11,46	67,00
1981	11,73	63,00
1982	12,10	63,00
1983	12,38	63,00
1984	13,18	63,00
1985	14,04	63,00
1986	14,39	61,00
1987	14,90	59,00
1988	15,18	59,00
1989	14,24	58,50
1990	12,26	58,40
1991	12,64	59,00
1992	12,79	59,60
1993	12,88	60,10
1994	12,83	60,70
1995	12,76	61,30
1996	12,73	61,90
1997	12,72	66,50
1998	12,69	63,30
1999	12,68	67,90
2000	12,69	68,50
2001	13,43	73,00
2002	12,80	76,60
2003	12,05	79,10
2004	11,90	78,70
2005	11,83	80,20
2006	11,77	81,50
2007	11,67	83,20
2008	11,71	83,30
2009	11,80	83,90
2010	11,86	86,60
2011	12,00	88,20
