Date	DeltaW_thousands_of_tons
1964	210,00
1965	950,00
1966	2840,00
1967	5790,00
1968	12180,00
1969	21300,00
1970	31430,00
1971	44770,00
1972	62720,00
1973	87690,00
1974	116440,00
1975	148040,00
1976	181690,00
1977	211180,00
1978	245720,00
1979	293400,00
1980	312600,00
1981	334300,00
1982	352900,00
1983	372000,00
1984	380000,00
1985	371300,00
1986	394700,00
1987	409100,00
1988	414400,00
1989	404100,00
1990	374200,00
1991	322740,00
1992	267800,00
1993	244000,00
1994	222000,00
1995	201592,00
1996	196699,00
1997	200385,00
1998	197698,00
1999	200706,00
2000	213469,00
2001	231253,00
2002	254165,00
2003	283169,00
2004	310002,00
2005	320237,00
2006	325000,00
2007	325000,00
2008	331800,00
2009	322100,00
2010	318300,00
2011	315300,00
